"id";"título";"autor";"ano";"genero"
1;"Dom Casmurro";"Machado de Assis";1899;"Romance"
2;"O Pequeno Príncipe";"Antoine de Saint-Exupéry";1943;"Fábula"
3;"Harry Potter e a Pedra Filosofal";"J.K. Rowling";1997;"Fantasia"
4;"O senhor dos Anéis";"J.R.R. Tolkien";1954;"Fantasia"
5;"1984";"George Orwell";1949;"Ficção Científica"
6;"A revolução dos Bichos";"George Orwell";1945;"Sátira"
7;"Noites Brancas";"Fiódor Dostoiésviski";1848;"Romance"
8;"O código da Vinci";"Dan Brown";2003;"Suspense"
9;"A culpa é das Estrelas";"John Green";2012;"Romance"
10;"Memórias Póstuma de Brás Cubas";"Machado de Assis";1881;"Romance"
